H_A_per_m,B_T
5.237111850830842741e+00,1.004993522051549765e-01
5.249857446615351364e+00,1.007493490025159893e-01
5.262601387366885319e+00,1.009993457921112836e-01
5.275343656583572738e+00,1.012493425737959890e-01
5.288084237807197496e+00,1.014993393478492156e-01
5.300823114579543471e+00,1.017493361141134506e-01
5.313560270486050285e+00,1.019993328728474036e-01
5.326295689112157561e+00,1.022493296238653204e-01
5.339029354086960666e+00,1.024993263673899535e-01
5.351761249039554968e+00,1.027493231031917087e-01
5.364491357599035837e+00,1.029993198305845931e-01
5.377219663481810130e+00,1.032493165501369298e-01
5.389946150404284708e+00,1.034993132619532186e-01
5.402670802126522176e+00,1.037493099665279112e-01
5.415393602364929393e+00,1.039993066630259394e-01
5.428114534923224710e+00,1.042493033518521461e-01
5.440833583605126478e+00,1.044993000329322158e-01
5.453550732258008793e+00,1.047492967065667135e-01
5.466265964729245752e+00,1.049992933725693439e-01
5.478979264866211452e+00,1.052492900302629264e-01
5.491690616603591479e+00,1.054992866801926221e-01
5.504400003876071423e+00,1.057492833224056156e-01
5.517107410661992617e+00,1.059992799573059863e-01
5.529812820896040648e+00,1.062492765839333358e-01
5.542516218643868342e+00,1.064992732033948203e-01
5.555217587883817032e+00,1.067492698145665608e-01
5.567916912725195289e+00,1.069992664183855857e-01
5.580614177233655937e+00,1.072492630144096237e-01
5.593309365518507548e+00,1.074992596025318159e-01
5.606002461732714437e+00,1.077492561829775236e-01
5.618693450029240921e+00,1.079992527554410192e-01
5.631382314604707062e+00,1.082492493199418704e-01
5.644069039699388668e+00,1.084992458768216095e-01
5.656753609553561546e+00,1.087492424258801188e-01
5.669436008451157250e+00,1.089992389672323758e-01
5.682116220719763078e+00,1.092492355013053862e-01
5.694794230643310584e+00,1.094992320271130776e-01
5.707470022636698559e+00,1.097492285456960204e-01
5.720143581071170047e+00,1.099992250566750873e-01
5.732814890361623839e+00,1.102492215599694403e-01
5.745483934922958724e+00,1.104992180549320135e-01
5.758150699257384986e+00,1.107492145420691798e-01
5.770815167910768650e+00,1.109992110221764139e-01
5.783477325385320000e+00,1.112492074946116322e-01
5.796137156226905063e+00,1.114992039590146089e-01
5.808794645025045611e+00,1.117492004153043256e-01
5.821449776456574909e+00,1.119991968645382419e-01
5.834102535111014731e+00,1.122491933054598073e-01
5.846752905708854087e+00,1.124991897388070011e-01
5.859400872970581986e+00,1.127491861647222648e-01
5.872046421616687439e+00,1.129991825827487695e-01
5.884689536411315203e+00,1.132491789926900055e-01
5.897330202205921523e+00,1.134991753954704696e-01
5.909968403808306903e+00,1.137491717905427802e-01
5.922604126069927588e+00,1.139991681776107296e-01
5.935237353929551318e+00,1.142491645574905818e-01
5.947868072282290086e+00,1.144991609295166329e-01
5.960496266066911630e+00,1.147491572932654441e-01
5.973121920309495181e+00,1.149991536494176098e-01
5.985745020036119968e+00,1.152491499980265316e-01
5.998365550316520967e+00,1.154991463393797435e-01
6.010983496176777408e+00,1.157491426722662420e-01
6.023598842817591503e+00,1.159991389982979737e-01
6.036211575308698229e+00,1.162491353158523061e-01
6.048821678894455545e+00,1.164991316261246995e-01
6.061429138775565661e+00,1.167491279288001005e-01
6.074033940196386538e+00,1.169991242237804624e-01
6.086636068444931880e+00,1.172491205111821505e-01
