time_s,root_branch,stack_depth
0.001032,initial,0
0.001033,initial,0
0.001034,initial,0
0.001035,initial,0
0.001036,initial,0
0.001037,initial,0
0.001038,initial,0
0.001039,initial,0
0.00104,initial,0
0.001041,initial,0
0.001042,initial,0
0.001043,initial,0
0.001044,initial,0
0.001045,initial,0
0.001046,initial,0
0.001047,initial,0
0.001048,initial,0
0.001049,initial,0
0.00105,initial,0
0.001051,initial,0
0.001052,initial,0
0.001053,initial,0
0.001054,initial,0
0.001055,initial,0
0.001056,initial,0
0.001057,initial,0
0.001058,initial,0
0.001059,initial,0
0.00106,initial,0
0.001061,initial,0
0.001062,initial,0
0.001063,initial,0
0.001064,initial,0
0.001065,initial,0
0.001066,initial,0
0.001067,initial,0
0.001068,initial,0
0.001069,initial,0
0.00107,initial,0
0.001071,initial,0
0.001072,initial,0
0.001073,initial,0
0.001074,initial,0
0.001075,initial,0
0.001076,initial,0
0.001077,initial,0
0.001078,initial,0
0.001079,initial,0
0.00108,initial,0
0.001081,initial,0
0.001082,initial,0
0.001083,initial,0
0.001084,initial,0
0.001085,initial,0
0.001086,initial,0
0.001087,initial,0
0.001088,initial,0
0.001089,initial,0
0.00109,initial,0
0.001091,initial,0
0.001092,initial,0
0.001093,initial,0
0.001094,initial,0
0.001095,initial,0
0.001096,initial,0
0.001097,initial,0
0.001098,initial,0
0.001099,initial,0
0.0011,initial,0
0.001101,initial,0
0.001102,initial,0
0.001103,initial,0
0.001104,initial,0
0.001105,initial,0
0.001106,initial,0
0.001107,initial,0
0.001108,initial,0
0.001109,initial,0
0.00111,initial,0
0.001111,initial,0
0.001112,initial,0
0.001113,initial,0
0.001114,initial,0
0.001115,initial,0
0.001116,initial,0
0.001117,initial,0
0.001118,initial,0
0.001119,initial,0
0.00112,initial,0
0.001121,initial,0
0.001122,initial,0
0.001123,initial,0
0.001124,initial,0
0.001125,initial,0
0.001126,initial,0
0.001127,initial,0
0.001128,initial,0
0.001129,initial,0
0.00113,initial,0
0.001131,initial,0
0.001132,initial,0
0.001133,initial,0
0.001134,initial,0
0.001135,initial,0
0.001136,initial,0
0.001137,initial,0
0.001138,initial,0
0.001139,initial,0
0.00114,initial,0
0.001141,initial,0
0.001142,initial,0
0.001143,initial,0
0.001144,initial,0
0.001145,initial,0
0.001146,initial,0
0.001147,initial,0
0.001148,initial,0
0.001149,initial,0
0.00115,initial,0
0.001151,initial,0
0.001152,initial,0
0.001153,initial,0
0.001154,initial,0
0.001155,initial,0
0.001156,initial,0
0.001157,initial,0
0.001158,initial,0
0.001159,initial,0
0.00116,initial,0
0.001161,initial,0
0.001162,initial,0
0.001163,initial,0
0.001164,initial,0
0.001165,initial,0
0.001166,initial,0
0.001167,initial,0
0.001168,initial,0
0.001169,initial,0
0.00117,initial,0
0.001171,initial,0
0.001172,initial,0
0.001173,initial,0
0.001174,initial,0
0.001175,initial,0
0.001176,initial,0
0.001177,initial,0
0.001178,initial,0
0.001179,initial,0
0.00118,initial,0
0.001181,initial,0
0.001182,initial,0
0.001183,initial,0
0.001184,initial,0
0.001185,initial,0
0.001186,initial,0
0.001187,initial,0
0.001188,initial,0
0.001189,initial,0
0.00119,initial,0
0.001191,initial,0
0.001192,initial,0
0.001193,initial,0
0.001194,initial,0
0.001195,initial,0
0.001196,initial,0
0.001197,initial,0
0.001198,initial,0
0.001199,initial,0
0.0012,initial,0
0.001201,initial,0
0.001202,initial,0
0.001203,initial,0
0.001204,initial,0
0.001205,initial,0
0.001206,initial,0
0.001207,initial,0
0.001208,initial,0
0.001209,initial,0
0.00121,initial,0
0.001211,initial,0
0.001212,initial,0
0.001213,initial,0
0.001214,initial,0
0.001215,initial,0
0.001216,initial,0
0.001217,initial,0
0.001218,initial,0
0.001219,initial,0
0.00122,initial,0
0.001221,initial,0
0.001222,initial,0
0.001223,initial,0
0.001224,initial,0
0.001225,initial,0
0.001226,initial,0
0.001227,initial,0
0.001228,initial,0
0.001229,initial,0
0.00123,initial,0
0.001231,initial,0
0.001232,initial,0
0.001233,initial,0
0.001234,initial,0
0.001235,initial,0
0.001236,initial,0
0.001237,initial,0
0.001238,initial,0
0.001239,initial,0
0.00124,initial,0
0.001241,initial,0
0.001242,initial,0
0.001243,initial,0
0.001244,initial,0
0.001245,initial,0
0.001246,initial,0
0.001247,initial,0
0.001248,initial,0
0.001249,initial,0
0.00125,initial,0
0.001251,initial,0
0.001252,initial,0
0.001253,initial,0
0.001254,initial,0
0.001255,initial,0
0.001256,initial,0
0.001257,initial,0
0.001258,initial,0
0.001259,initial,0
0.00126,initial,0
0.001261,initial,0
0.001262,initial,0
0.001263,initial,0
0.001264,initial,0
0.001265,initial,0
0.001266,initial,0
0.001267,initial,0
0.001268,initial,0
0.001269,initial,0
0.00127,initial,0
0.001271,initial,0
0.001272,initial,0
0.001273,initial,0
0.001274,initial,0
0.001275,initial,0
0.001276,initial,0
0.001277,initial,0
0.001278,initial,0
0.001279,initial,0
0.00128,initial,0
0.001281,initial,0
0.001282,initial,0
0.001283,initial,0
0.001284,initial,0
0.001285,initial,0
0.001286,initial,0
0.001287,initial,0
0.001288,initial,0
0.001289,initial,0
0.00129,initial,0
0.001291,initial,0
0.001292,initial,0
0.001293,initial,0
0.001294,initial,0
0.001295,initial,0
0.001296,initial,0
0.001297,initial,0
0.001298,initial,0
0.001299,initial,0
0.0013,initial,0
0.001301,initial,0
0.001302,initial,0
0.001303,initial,0
0.001304,initial,0
0.001305,initial,0
0.001306,initial,0
0.001307,initial,0
0.001308,initial,0
0.001309,initial,0
0.00131,initial,0
0.001311,initial,0
0.001312,initial,0
0.001313,initial,0
0.001314,initial,0
0.001315,initial,0
0.001316,initial,0
0.001317,initial,0
0.001318,initial,0
0.001319,initial,0
0.00132,initial,0
0.001321,initial,0
0.001322,initial,0
0.001323,initial,0
0.001324,initial,0
0.001325,initial,0
0.001326,initial,0
0.001327,initial,0
0.001328,initial,0
0.001329,initial,0
0.00133,initial,0
0.001331,initial,0
0.001332,initial,0
0.001333,initial,0
0.001334,initial,0
0.001335,initial,0
0.001336,initial,0
0.001337,initial,0
0.001338,initial,0
0.001339,initial,0
0.00134,initial,0
0.001341,initial,0
0.001342,initial,0
0.001343,initial,0
0.001344,initial,0
0.001345,initial,0
0.001346,initial,0
0.001347,initial,0
0.001348,initial,0
0.001349,initial,0
0.00135,initial,0
0.001351,initial,0
0.001352,initial,0
0.001353,initial,0
0.001354,initial,0
0.001355,initial,0
0.001356,initial,0
0.001357,initial,0
0.001358,initial,0
0.001359,initial,0
0.00136,initial,0
0.001361,initial,0
0.001362,initial,0
0.001363,initial,0
0.001364,initial,0
0.001365,initial,0
0.001366,initial,0
0.001367,initial,0
0.001368,initial,0
0.001369,initial,0
0.00137,initial,0
0.001371,initial,0
0.001372,initial,0
0.001373,initial,0
0.001374,initial,0
0.001375,initial,0
0.001376,initial,0
0.001377,initial,0
