H_A_per_m,B_T
1.674880579712623216e+02,1.297379771682063643e+00
1.651913620514795298e+02,1.296337958486062814e+00
1.628319635165844943e+02,1.295242541497751310e+00
1.604123529606983993e+02,1.294092202178407147e+00
1.579350743137221400e+02,1.292885618862771757e+00
1.554027221916185795e+02,1.291621471698886081e+00
1.528179392031779287e+02,1.290298447773621238e+00
1.501834132160439026e+02,1.288915246530341951e+00
1.475018745848009303e+02,1.287470585390083189e+00
1.447760933439633106e+02,1.285963205736723625e+00
1.420088763687294318e+02,1.284391879053837560e+00
1.392030645063898930e+02,1.282755413535180633e+00
1.363615296813007660e+02,1.281052661008618809e+00
1.334871719763518740e+02,1.279282524119567110e+00
1.305829166938752905e+02,1.277443964076234728e+00
1.276517113989534380e+02,1.275536008707009783e+00
1.246965229480949802e+02,1.273557760960965846e+00
1.217203345062542610e+02,1.271508407996584822e+00
1.187261425551749312e+02,1.269387286004042936e+00
1.157169538960361876e+02,1.267195527250428055e+00
1.126957826493861745e+02,1.264935734177158100e+00
1.096656472553300716e+02,1.262609859841081983e+00
1.066295674769447288e+02,1.260219413224630047e+00
1.035905614098738283e+02,1.257765663427288461e+00
1.005516425010466719e+02,1.255249764827775616e+00
9.751581657944662140e+01,1.252672839337706456e+00
9.448607890183639313e+01,1.250036034397094875e+00
9.146541121632500904e+01,1.247340566581005339e+00
8.845677884663652435e+01,1.244587754586058637e+00
8.546312779991301056e+01,1.241779048393945040e+00
8.248738190085376232e+01,1.238916053261923444e+00
7.953243995496019636e+01,1.236000551213386256e+00
7.660117294361853624e+01,1.233034521246965109e+00
7.369642125371721875e+01,1.230020157641211975e+00
7.082099194445190449e+01,1.226959886944000822e+00
6.797765605392842758e+01,1.223856384995771762e+00
6.516914594812860173e+01,1.220712591645419121e+00
6.239815271475814029e+01,1.217531725474119364e+00
5.966732360443609906e+01,1.214317296970265359e+00
5.697925952164733587e+01,1.211073120624854615e+00
5.433651256780598970e+01,1.207803326175692860e+00
5.174158363873975475e+01,1.204512365803250606e+00
4.919692007882585472e+01,1.201205024234787366e+00
4.670491339396712505e+01,1.197886421723812544e+00
4.426789702551396033e+01,1.194562016723760722e+00
4.188814418719123722e+01,1.191237607456539616e+00
3.956786576700337577e+01,1.187919328013783637e+00
3.730920829603773825e+01,1.184613643387107063e+00
3.511425198600536390e+01,1.181327338483437073e+00
3.298500883728632971e+01,1.178067504697454693e+00
3.092342081917969665e+01,1.174841525852341695e+00
2.893135812397504480e+01,1.171657051657578608e+00
2.701061749638611786e+01,1.168521977210767337e+00
2.516292063981632054e+01,1.165444408877107652e+00
2.338991270083347729e+01,1.162432631311711040e+00
2.169316083316482491e+01,1.159495068311457544e+00
2.007415284242686937e+01,1.156640239607466203e+00
1.853429591273545896e+01,1.153876712878737276e+00
