H_upper,B_upper,H_lower,B_lower,H_init,B_init
-315.6,-1.32874973557,-315.6,-1.46582973175,-315.6,-1.39728973366
-314.4,-1.32735754403,-314.4,-1.46548783543,-314.4,-1.39642268973
-313.2,-1.32595104013,-313.2,-1.46514421271,-313.2,-1.39554762642
-312,-1.3245300018,-312,-1.46479885042,-312,-1.39466442611
-310.8,-1.32309420231,-310.8,-1.46445173527,-310.8,-1.39377296879
-309.6,-1.32164341023,-309.6,-1.46410285381,-309.6,-1.39287313202
-308.4,-1.32017738925,-308.4,-1.46375219247,-308.4,-1.39196479086
-307.2,-1.31869589806,-307.2,-1.46339973754,-307.2,-1.3910478178
-306,-1.31719869023,-306,-1.46304547515,-306,-1.39012208269
-304.8,-1.31568551408,-304.8,-1.46268939131,-304.8,-1.38918745269
-303.6,-1.31415611251,-303.6,-1.46233147187,-303.6,-1.38824379219
-302.4,-1.31261022287,-302.4,-1.46197170255,-302.4,-1.38729096271
-301.2,-1.31104757684,-301.2,-1.4616100689,-301.2,-1.38632882287
-300,-1.30946790021,-300,-1.46124655634,-300,-1.38535722827
-298.8,-1.30787091277,-298.8,-1.46088115011,-298.8,-1.38437603144
-297.6,-1.30625632813,-297.6,-1.46051383533,-297.6,-1.38338508173
-296.4,-1.30462385355,-296.4,-1.46014459694,-296.4,-1.38238422524
-295.2,-1.30297318974,-295.2,-1.45977341972,-295.2,-1.38137330473
-294,-1.30130403074,-294,-1.4594002883,-294,-1.38035215952
-292.8,-1.29961606363,-292.8,-1.45902518715,-292.8,-1.37932062539
-291.6,-1.29790896845,-291.6,-1.45864810056,-291.6,-1.3782785345
-290.4,-1.2961824179,-290.4,-1.45826901266,-290.4,-1.37722571528
-289.2,-1.29443607718,-289.2,-1.45788790742,-289.2,-1.3761619923
-288,-1.29266960378,-288,-1.45750476862,-288,-1.3750871862
-286.8,-1.29088264722,-286.8,-1.45711957987,-286.8,-1.37400111355
-285.6,-1.28907484885,-285.6,-1.45673232463,-285.6,-1.37290358674
-284.4,-1.28724584159,-284.4,-1.45634298614,-284.4,-1.37179441387
-283.2,-1.28539524969,-283.2,-1.45595154749,-283.2,-1.37067339859
-282,-1.28352268848,-282,-1.45555799156,-282,-1.36954034002
-280.8,-1.28162776409,-280.8,-1.45516230107,-280.8,-1.36839503258
-279.6,-1.27971007316,-279.6,-1.45476445854,-279.6,-1.36723726585
-278.4,-1.2777692026,-278.4,-1.4543644463,-278.4,-1.36606682445
-277.2,-1.27580472925,-277.2,-1.45396224647,-277.2,-1.36488348786
-276,-1.27381621958,-276,-1.453557841,-276,-1.36368703029
-274.8,-1.27180322941,-274.8,-1.45315121163,-274.8,-1.36247722052
-273.6,-1.2697653035,-273.6,-1.45274233989,-273.6,-1.36125382169
-272.4,-1.2677019753,-272.4,-1.4523312071,-272.4,-1.3600165912
-271.2,-1.2656127665,-271.2,-1.45191779441,-271.2,-1.35876528045
-270,-1.26349718674,-270,-1.4515020827,-270,-1.35749963472
-268.8,-1.26135473319,-268.8,-1.4510840527,-268.8,-1.35621939295
-267.6,-1.25918489015,-267.6,-1.45066368487,-267.6,-1.35492428751
-266.4,-1.25698712863,-266.4,-1.45024095948,-266.4,-1.35361404406
-265.2,-1.25476090594,-265.2,-1.44981585657,-265.2,-1.35228838126
-264,-1.25250566523,-264,-1.44938835596,-264,-1.35094701059
-262.8,-1.25022083503,-262.8,-1.44895843722,-262.8,-1.34958963612
-261.6,-1.24790582877,-261.6,-1.44852607971,-261.6,-1.34821595424
-260.4,-1.24556004426,-260.4,-1.44809126254,-260.4,-1.3468256534
-259.2,-1.24318286318,-259.2,-1.4476539646,-259.2,-1.34541841389
-258,-1.24077365056,-258,-1.44721416451,-258,-1.34399390754
-256.8,-1.23833175417,-256.8,-1.44677184067,-256.8,-1.34255179742
-255.6,-1.23585650395,-255.6,-1.44632697122,-255.6,-1.34109173758
-254.4,-1.2333472114,-254.4,-1.44587953403,-254.4,-1.33961337272
-253.2,-1.23080316896,-253.2,-1.44542950674,-253.2,-1.33811633785
-252,-1.22822364928,-252,-1.44497686671,-252,-1.336600258
-250.8,-1.22560790462,-250.8,-1.44452159106,-250.8,-1.33506474784
-249.6,-1.22295516604,-249.6,-1.44406365661,-249.6,-1.33350941133
-248.4,-1.22026464271,-248.4,-1.44360303993,-248.4,-1.33193384132
-247.2,-1.21753552106,-247.2,-1.4431397173,-247.2,-1.33033761918
-246,-1.21476696404,-246,-1.44267366474,-246,-1.32872031439
-244.8,-1.21195811019,-244.8,-1.44220485795,-244.8,-1.32708148407
-243.6,-1.20910807278,-243.6,-1.44173327239,-243.6,-1.32542067258
-242.4,-1.20621593887,-242.4,-1.44125888318,-242.4,-1.32373741103
-241.2,-1.20328076835,-241.2,-1.44078166517,-241.2,-1.32203121676
-240,-1.20030159289,-240,-1.44030159289,-240,-1.32030159289
-238.8,-1.19727741491,-238.8,-1.4398186406,-238.8,-1.31854802775
-237.6,-1.19420720641,-237.6,-1.4393327822,-237.6,-1.3167699943
-236.4,-1.19108990788,-236.4,-1.4388439913,-236.4,-1.31496694959
-235.2,-1.18792442702,-235.2,-1.4383522412,-235.2,-1.31313833411
-234,-1.18470963749,-234,-1.43785750485,-234,-1.31128357117
-232.8,-1.18144437757,-232.8,-1.43735975488,-232.8,-1.30940206623
-231.6,-1.17812744875,-231.6,-1.4368589636,-231.6,-1.30749320618
-230.4,-1.17475761429,-230.4,-1.43635510295,-230.4,-1.30555635862
-229.2,-1.17133359762,-229.2,-1.43584814454,-229.2,-1.30359087108
-228,-1.16785408082,-228,-1.43533805964,-228,-1.30159607023
-226.8,-1.16431770283,-226.8,-1.43482481914,-226.8,-1.29957126099
-225.6,-1.16072305776,-225.6,-1.43430839359,-225.6,-1.29751572567
-224.4,-1.15706869296,-224.4,-1.43378875314,-224.4,-1.29542872305
